source language,target language,translation engine is,preferred engine
af,nl,Apertium,true
an,ca,Apertium,false
an,es,Apertium,false
ar,mt,Apertium,true
ast,es,Apertium,false
be,ru,Apertium,true
bg,mk,Apertium,true
br,fr,Apertium,false
ca,an,Apertium,false
ca,en,Apertium,false
ca,eo,Apertium,false
ca,es,Apertium,false
ca,fr,Apertium,true
ca,oc,Apertium,true
ca,pt,Apertium,true
ca,simple,Apertium,false
ca,sc,Apertium,true
crh-latn,tr,Apertium,false
cy,en,Apertium,false
cy,simple,Apertium,false
da,nb,Apertium,false
da,nn,Apertium,false
da,sv,Apertium,false
en,ca,Apertium,false
en,eo,Apertium,false
en,es,Apertium,false
en,gl,Apertium,true
en,sh,Apertium,false
eo,en,Apertium,false
eo,simple,Apertium,false
es,an,Apertium,false
es,ast,Apertium,false
es,ca,Apertium,true
es,en,Apertium,false
es,eo,Apertium,false
es,fr,Apertium,true
es,gl,Apertium,true
es,it,Apertium,true
es,oc,Apertium,false
es,pt,Apertium,true
es,simple,Apertium,false
eu,en,Apertium,false
eu,es,Apertium,false
eu,simple,Apertium,false
fr,ca,Apertium,false
fr,eo,Apertium,false
fr,es,Apertium,false
fr,oc,Apertium,true
gl,en,Apertium,false
gl,es,Apertium,false
gl,pt,Apertium,true
gl,simple,Apertium,false
hi,ur,Apertium,true
id,ms,Apertium,true
is,en,Apertium,false
is,simple,Apertium,false
is,sv,Apertium,true
it,ca,Apertium,false
it,es,Apertium,false
it,sc,Apertium,true
kk,tt,Apertium,true
mk,bg,Apertium,true
mk,sr,Apertium,true
ms,id,Apertium,true
mt,ar,Apertium,true
nb,da,Apertium,false
nb,nn,Apertium,false
nb,sv,Apertium,false
nl,af,Apertium,true
nn,da,Apertium,false
nn,nb,Apertium,false
nn,sv,Apertium,false
oc,ca,Apertium,false
oc,es,Apertium,false
pt,ca,Apertium,true
pt,es,Apertium,false
pt,gl,Apertium,false
pl,szl,Apertium,false
ro,es,Apertium,false
ru,be,Apertium,false
ru,uk,Apertium,false
se,nb,Apertium,false
sh,en,Apertium,false
sh,simple,Apertium,false
sh,sl,Apertium,true
simple,ca,Apertium,false
simple,eo,Apertium,false
simple,es,Apertium,false
simple,gl,Apertium,false
simple,sh,Apertium,false
sl,sh,Apertium,false
sl,sr,Apertium,true
sv,da,Apertium,true
sv,is,Apertium,true
sv,nb,Apertium,false
sv,nn,Apertium,false
szl,pl,Apertium,false
tt,kk,Apertium,true
ur,hi,Apertium,true
ca,eu,Elia,true
ca,fr,Elia,false
ca,simple,Elia,false
en,ca,Elia,false
en,es,Elia,false
en,eu,Elia,true
en,fr,Elia,false
en,gl,Elia,false
es,eu,Elia,true
es,fr,Elia,false
es,simple,Elia,false
eu,ca,Elia,false
eu,es,Elia,false
eu,fr,Elia,false
eu,gl,Elia,false
eu,simple,Elia,false
fr,ca,Elia,false
fr,es,Elia,false
fr,eu,Elia,true
fr,gl,Elia,false
fr,simple,Elia,false
gl,eu,Elia,true
gl,fr,Elia,false
gl,simple,Elia,false
simple,ca,Elia,false
simple,es,Elia,false
simple,eu,Elia,false
simple,fr,Elia,false
simple,gl,Elia,false
en,as,Flores,false
en,ast,Flores,false
en,ay,Flores,false
en,ba,Flores,false
en,ckb,Flores,false
en,ha,Flores,false
en,ig,Flores,true
en,ilo,Flores,false
en,is,Flores,true
en,kg,Flores,false
en,ln,Flores,false
en,lg,Flores,false
en,nso,Flores,false
en,oc,Flores,true
en,om,Flores,false
en,ss,Flores,false
en,tn,Flores,false
en,ts,Flores,false
en,wo,Flores,false
en,yue,Flores,false
en,zh,Flores,false
en,zu,Flores,false
ca,oc,Flores,false
es,as,Flores,false
es,ast,Flores,false
es,ay,Flores,false
es,ba,Flores,false
es,ckb,Flores,false
es,ha,Flores,false
es,ig,Flores,false
es,ilo,Flores,false
es,is,Flores,false
es,kg,Flores,false
es,ln,Flores,false
es,lg,Flores,false
es,nso,Flores,false
es,oc,Flores,false
es,om,Flores,false
es,ss,Flores,false
es,ti,Flores,false
es,tn,Flores,false
es,ts,Flores,false
es,yue,Flores,false
es,zh,Flores,false
es,zu,Flores,false
fr,as,Flores,false
fr,ast,Flores,false
fr,ay,Flores,false
fr,ba,Flores,false
fr,ckb,Flores,false
fr,ha,Flores,false
fr,ig,Flores,false
fr,ilo,Flores,false
fr,is,Flores,false
fr,kg,Flores,false
fr,ln,Flores,false
fr,lg,Flores,false
fr,nso,Flores,false
fr,oc,Flores,false
fr,om,Flores,false
fr,ss,Flores,false
fr,ti,Flores,false
fr,tn,Flores,false
fr,ts,Flores,false
fr,wo,Flores,false
fr,yue,Flores,false
fr,zh,Flores,false
fr,zu,Flores,false
pt,oc,Flores,false
ru,ba,Flores,false
zh,yue,Flores,false
af,am,Google,false
af,ar,Google,false
af,arz,Google,false
af,as,Google,false
af,ay,Google,false
af,az,Google,false
af,be,Google,false
af,be-tarask,Google,false
af,bg,Google,false
af,bho,Google,false
af,bm,Google,false
af,bn,Google,false
af,bs,Google,false
af,ca,Google,false
af,ceb,Google,false
af,ckb,Google,false
af,co,Google,false
af,cs,Google,false
af,cy,Google,false
af,da,Google,false
af,de,Google,false
af,dv,Google,false
af,ee,Google,false
af,el,Google,false
af,en,Google,false
af,eo,Google,false
af,es,Google,false
af,et,Google,false
af,eu,Google,false
af,fa,Google,false
af,fi,Google,false
af,fr,Google,false
af,fy,Google,false
af,ga,Google,false
af,gan,Google,false
af,gd,Google,false
af,gl,Google,false
af,gn,Google,false
af,gom,Google,false
af,gu,Google,false
af,ha,Google,false
af,haw,Google,false
af,he,Google,false
af,hi,Google,false
af,hr,Google,false
af,ht,Google,false
af,hu,Google,false
af,hy,Google,false
af,id,Google,false
af,ig,Google,false
af,ilo,Google,false
af,is,Google,false
af,it,Google,false
af,ja,Google,false
af,jv,Google,false
af,ka,Google,false
af,kk,Google,false
af,km,Google,false
af,kn,Google,false
af,ko,Google,false
af,ku,Google,false
af,ky,Google,false
af,la,Google,false
af,lb,Google,false
af,lg,Google,false
af,ln,Google,false
af,lo,Google,false
af,lt,Google,false
af,lv,Google,false
af,mai,Google,false
af,mg,Google,false
af,mi,Google,false
af,mk,Google,false
af,ml,Google,false
af,mn,Google,false
af,mni,Google,false
af,mr,Google,false
af,ms,Google,false
af,mt,Google,false
af,my,Google,false
af,ne,Google,false
af,nl,Google,false
af,no,Google,false
af,nso,Google,false
af,ny,Google,false
af,om,Google,false
af,or,Google,false
af,pa,Google,false
af,pl,Google,false
af,ps,Google,false
af,pt,Google,false
af,qu,Google,false
af,ro,Google,false
af,ru,Google,false
af,rw,Google,false
af,sa,Google,false
af,sd,Google,false
af,sh,Google,false
af,si,Google,false
af,simple,Google,false
af,sk,Google,false
af,sl,Google,false
af,sm,Google,false
af,sn,Google,false
af,so,Google,false
af,sq,Google,false
af,sr,Google,false
af,st,Google,false
af,su,Google,false
af,sv,Google,false
af,sw,Google,false
af,ta,Google,false
af,te,Google,false
af,tg,Google,false
af,th,Google,false
af,ti,Google,false
af,tk,Google,false
af,tl,Google,false
af,tr,Google,false
af,ts,Google,false
af,tt,Google,false
af,tw,Google,false
af,ug,Google,false
af,uk,Google,false
af,ur,Google,false
af,uz,Google,false
af,vi,Google,false
af,wuu,Google,false
af,xh,Google,false
af,yi,Google,false
af,yo,Google,false
af,yue,Google,false
af,zh,Google,true
af,zu,Google,false
am,af,Google,false
am,ar,Google,false
am,arz,Google,false
am,as,Google,false
am,ay,Google,false
am,az,Google,false
am,be,Google,false
am,be-tarask,Google,false
am,bg,Google,false
am,bho,Google,false
am,bm,Google,false
am,bn,Google,false
am,bs,Google,false
am,ca,Google,false
am,ceb,Google,false
am,ckb,Google,false
am,co,Google,false
am,cs,Google,false
am,cy,Google,false
am,da,Google,false
am,de,Google,false
am,dv,Google,false
am,ee,Google,false
am,el,Google,false
am,en,Google,false
am,eo,Google,false
am,es,Google,false
am,et,Google,false
am,eu,Google,false
am,fa,Google,false
am,fi,Google,false
am,fr,Google,false
am,fy,Google,false
am,ga,Google,false
am,gan,Google,false
am,gd,Google,false
am,gl,Google,false
am,gn,Google,false
am,gom,Google,false
am,gu,Google,false
am,ha,Google,false
am,haw,Google,false
am,he,Google,false
am,hi,Google,false
am,hr,Google,false
am,ht,Google,false
am,hu,Google,false
am,hy,Google,false
am,id,Google,false
am,ig,Google,false
am,ilo,Google,false
am,is,Google,false
am,it,Google,false
am,ja,Google,false
am,jv,Google,false
am,ka,Google,false
am,kk,Google,false
am,km,Google,false
am,kn,Google,false
am,ko,Google,false
am,ku,Google,false
am,ky,Google,false
am,la,Google,false
am,lb,Google,false
am,lg,Google,false
am,ln,Google,false
am,lo,Google,false
am,lt,Google,false
am,lv,Google,false
am,mai,Google,false
am,mg,Google,false
am,mi,Google,false
am,mk,Google,false
am,ml,Google,false
am,mn,Google,false
am,mni,Google,false
am,mr,Google,false
am,ms,Google,false
am,mt,Google,false
am,my,Google,false
am,ne,Google,false
am,nl,Google,false
am,no,Google,false
am,nso,Google,false
am,ny,Google,false
am,om,Google,false
am,or,Google,false
am,pa,Google,false
am,pl,Google,false
am,ps,Google,false
am,pt,Google,false
am,qu,Google,false
am,ro,Google,false
am,ru,Google,false
am,rw,Google,false
am,sa,Google,false
am,sd,Google,false
am,sh,Google,false
am,si,Google,false
am,simple,Google,false
am,sk,Google,false
am,sl,Google,false
am,sm,Google,false
am,sn,Google,false
am,so,Google,false
am,sq,Google,false
am,sr,Google,false
am,st,Google,false
am,su,Google,false
am,sv,Google,false
am,sw,Google,false
am,ta,Google,false
am,te,Google,false
am,tg,Google,false
am,th,Google,false
am,ti,Google,false
am,tk,Google,false
am,tl,Google,false
am,tr,Google,false
am,ts,Google,false
am,tt,Google,false
am,tw,Google,false
am,ug,Google,false
am,uk,Google,false
am,ur,Google,false
am,uz,Google,false
am,vi,Google,false
